Test_ID,Predicted_Reference_Parameter,Validity_Label,Interval_95_Lower,Interval_95_Upper,Interval_Width,Interval_Margin,Applied_Voltage_kV,Load_Current_A,Ambient_Temperature_C,Test_Duration_min,Sensor_S1,Sensor_S2,Sensor_S3,Sensor_S4,Anomaly_Score,Reason,Fault_Detected,Fault_Type,Fault_Sensor,Fault_Severity,Fault_Reason,Fault_Confidence,Mahalanobis_Distance,Cross_Sensor_Inconsistent,Contributing_Sensors,Multivariate_Anomaly_Score,S1_Residual,S2_Residual,S3_Residual,SHAP_Increased_Hotspot,SHAP_Decreased_Hotspot
TST-0278,31.6774,Invalid,30.2402,33.1146,2.8744,1.4372,17.811,90.1179,31.3022,44.6405,17.5112,8.5726,16.8205,35.3431,6.5201,Sensor_S1 physical deviation (3.63 deg C > threshold 1.25); Sensor_S2 physical deviation (6.52 deg C > threshold 1.25),True,Other Sensor Anomaly,"Sensor_S1, Sensor_S2",Critical,"Simultaneous multi-sensor deviation on Sensor_S1, Sensor_S2",100.0% (Max Z=19.96),42.186,True,"Sensor_S1, Sensor_S2",42.186,3.633,-6.52,0.002,Load_Current_A; Power_Proxy_kVA; Test_Duration_min; Sensor_S1,Sensor_S2; Ambient_Plus_Terminal; Temp_Gradient_S2_S1
TST-0006,19.1257,Valid,17.6885,20.5629,2.8744,1.4372,23.0493,31.1155,39.1369,21.9355,12.9218,12.1695,17.0738,63.4606,0.2897,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.944,False,None,1.944,-0.219,0.29,-0.221,Ambient_Plus_Terminal; Ambient_Temperature_C; Sensor_S4; Temp_Gradient_S3_S1,Load_Current_A; Power_Proxy_kVA; Temp_Gradient_S2_S1
TST-0047,56.0143,Valid,54.5771,57.4515,2.8744,1.4372,19.7897,108.3701,55.0,8.0283,15.1584,17.5965,18.4259,43.31,0.6754,Normal Operating Condition,True,Multi-Sensor Correlation Anomaly,Sensor_S1,Warning,Cross-sensor residuals disagree with the robust covariance pattern (Mahalanobis D=4.09 > 3.37),99.9% (chi2 p=0.0008),4.091,True,Sensor_S1,4.091,-0.675,0.269,-0.576,Load_Current_A; Ambient_Plus_Terminal; Ambient_Temperature_C; Sensor_S2,Test_Duration_min; Sensor_S3
TST-0311,25.4817,Valid,24.0445,26.9189,2.8744,1.4372,24.9749,73.0664,26.2349,34.3724,16.1721,15.688,20.2016,25.5532,0.4246,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.362,False,None,1.362,-0.205,-0.425,-0.413,Sensor_S2; Power_Proxy_kVA; Terminal_TempRise_Mean; Test_Duration_min,Load_Current_A; Ambient_Plus_Terminal; Ambient_Temperature_C
TST-0264,22.6785,Invalid,21.2413,24.1157,2.8744,1.4372,19.7388,39.1346,34.0025,33.7288,8.4072,18.644,15.7654,45.2633,7.2237,Sensor_S1 physical deviation (3.59 deg C > threshold 1.25); Sensor_S2 physical deviation (7.22 deg C > threshold 1.25),True,Other Sensor Anomaly,"Sensor_S1, Sensor_S2",Critical,"Simultaneous multi-sensor deviation on Sensor_S1, Sensor_S2",100.0% (Max Z=22.11),44.332,True,"Sensor_S1, Sensor_S2",44.332,-3.587,7.224,0.218,Sensor_S2; Temp_Gradient_S2_S1; Terminal_TempRise_Mean; Temp_Gradient_S3_S1,Load_Current_A; Power_Proxy_kVA; Ambient_Plus_Terminal
TST-0169,19.8054,Valid,18.3682,21.2426,2.8744,1.4372,18.2262,60.8352,33.7688,52.4161,12.7254,12.8528,16.2683,60.416,0.628,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),2.103,False,None,2.103,0.261,0.108,0.628,Sensor_S2; Test_Duration_min; Terminal_TempRise_Mean; Sensor_S4,Load_Current_A; Ambient_Plus_Terminal; Power_Proxy_kVA
TST-0269,18.3119,Valid,16.8747,19.7491,2.8744,1.4372,18.3207,48.0471,37.1887,7.9713,11.3916,11.5145,14.6297,27.5177,0.4398,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),1.785,False,None,1.785,-0.413,-0.175,-0.44,Sensor_S4,Load_Current_A; Sensor_S2; Power_Proxy_kVA
TST-0178,16.3536,Invalid,14.9164,17.7908,2.8744,1.4372,11.1969,39.4963,25.0036,25.0844,25.0,8.3016,10.3271,50.1327,17.0856,Sensor_S1 physical deviation (17.09 deg C > threshold 1.25),True,Sensor Spike,Sensor_S1,Critical,Sensor_S1 registered abrupt positive spike of 17.09 deg C above thermodynamic expectation,"100.0% (Z=65.26, residual=17.09 C)",154.289,True,Sensor_S1,154.289,17.086,-0.204,0.293,Terminal_TempRise_Mean; Sensor_S1; Applied_Voltage_kV; Sensor_S4,Load_Current_A; Sensor_S2; Ambient_Plus_Terminal
TST-0206,31.8178,Valid,30.3806,33.255,2.8744,1.4372,27.6042,73.4795,45.2,28.1561,18.0358,17.4965,23.198,63.1036,0.8603,Normal Operating Condition,True,Calibration Drift,Sensor_S3,Warning,Sensor_S3 shows borderline persistent bias of 0.86 deg C,96.8% (Z=2.15),2.489,False,None,2.489,0.374,0.442,0.86,Ambient_Plus_Terminal; Sensor_S2; Power_Proxy_kVA; Ambient_Temperature_C,Load_Current_A; Temp_Gradient_S2_S1; Applied_Voltage_kV
TST-0038,18.1367,Valid,16.6995,19.5739,2.8744,1.4372,20.4807,29.4353,34.4444,42.724,11.9934,11.0251,16.1573,59.9431,0.609,Normal Operating Condition,False,None,None,Normal,Sensor readings conform to physical electro-thermal equilibrium,N/A (Normal),2.362,False,None,2.362,0.178,0.174,0.609,Test_Duration_min; Sensor_S4,Load_Current_A; Sensor_S2; Power_Proxy_kVA
